Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2013/2/5,"Dell Inc","MSD Capital LP,Private Investor,Silver Lake Management LLC (Fund: Silver Lake Partners III LP),Silver Lake Management LLC (Fund: Silver Lake Partners IV LP)","",16435.60,"Cash",4.86,"Completed"
"M&A",2014/9/22,"Sigma-Aldrich Corp","Merck KGaA","",16394.56,"Cash",19.94,"Completed"
"M&A",2022/11/1,"ABIOMED Inc","Johnson & Johnson","",16270.94,"Cash",56.52,"Completed"
"M&A",2024/2/5,"Catalent Inc","Novo Holdings A/S","",16208.41,"Cash",55.13,"Completed"
"M&A",2020/8/2,"Varian Medical Systems Inc","Siemens Healthineers AG","",16109.35,"Cash",34.57,"Completed"
"M&A",2014/1/13,"Beam Suntory Inc","Suntory Holdings Ltd","",15946.59,"Cash",21.11,"Completed"
"M&A",2024/12/9,"Interpublic Group of Cos Inc/The","Omnicom Group Inc","",15915.52,"Stock",8.00,"Completed"
"M&A",2022/3/29,"Nielsen Holdings PLC","Elliott Management Corp,Private Investor,Brookfield Business Partners LP","",15491.58,"Cash",10.54,"Completed"
"M&A",2013/4/15,"Life Technologies Corp","Thermo Fisher Scientific Inc","",15402.34,"Cash",13.27,"Completed"
"M&A",2018/3/5,"XL Group Ltd","AXA SA","",15200.60,"Cash", ,"Completed"
"M&A",2015/11/16,"Starwood Hotels & Resorts Worldwide LLC","Marriott International Inc/MD","",15158.57,"Cash and Stock",14.52,"Completed"
"M&A",2015/8/26,"Cameron International Corp","SLB Ltd","",15154.20,"Cash and Stock",14.11,"Completed"
"M&A",2017/7/31,"Scripps Networks Interactive Inc","Warner Bros Discovery Inc","",14986.60,"Cash and Stock",10.92,"Completed"
"M&A",2020/2/20,"E*TRADE Financial Corp","Morgan Stanley","",14507.65,"Stock",7.89,"Completed"
"M&A",2018/1/3,"SCANA Corp","Dominion Energy Inc","",14504.33,"Stock",27.57,"Completed"
"M&A",2022/1/31,"Citrix Systems Inc","Elliott Management Corp,Vista Equity Partners LLC (Fund: Vista Foundation Fund IV LP)","",14436.81,"Cash",26.98,"Completed"
"M&A",2015/6/1,"Altera Corp","Intel Corp","",14354.62,"Cash",24.85,"Completed"
"M&A",2015/10/21,"SanDisk LLC","Western Digital Corp","",14162.36,"Cash and Stock",10.47,"Completed"
"M&A",2015/12/7,"Keurig Green Mountain Inc","Mondelez International Inc,BDT Capital Partners LLC (Fund: BDT Capital Partners Fund II LP),JAB Holding Co Sarl,Jacobs Douwe Egberts BV","",13976.17,"Cash",13.55,"Completed"
"M&A",2015/5/13,"Pall Corp","Danaher Corp","",13779.46,"Cash",22.04,"Completed"
"M&A",2017/6/16,"Whole Foods Market Inc","Amazon.com Inc","",13605.36,"Cash",10.88,"Completed"
"M&A",2019/3/27,"WellCare Health Plans Inc","Centene Corp","",13534.24,"Cash and Stock",14.02,"Completed"
"M&A",2024/1/10,"Juniper Networks Inc","Hewlett Packard Enterprise Co","",13293.34,"Cash",18.69,"Completed"
"M&A",2020/10/19,"Concho Resources Inc","ConocoPhillips","",13290.68,"Stock", ,"Completed"
"M&A",2015/11/17,"Airgas Inc","Air Liquide SA","",13246.56,"Cash",13.59,"Completed"
"M&A",2012/5/21,"Cooper Industries PLC","Eaton Corp PLC","",12846.14,"Cash and Stock",14.17,"Completed"
"M&A",2016/7/26,"Linear Technology Corp","Analog Devices Inc","",12813.78,"Cash and Stock",18.71,"Completed"
"M&A",2020/7/20,"Noble Energy Inc","Chevron Corp","",12680.60,"Stock", ,"Completed"
"M&A",2010/2/21,"Smith International Inc","SLB Ltd","",12342.48,"Stock",12.80,"Completed"
"M&A",2016/2/16,"ADT Security Corp/The","Apollo Asset Management Inc","",12269.09,"Cash",6.96,"Completed"
"M&A",2014/4/30,"Pepco Holdings LLC","Exelon Corp","",12184.67,"Cash",10.14,"Completed"
"M&A",2014/10/5,"CareFusion Corp","Becton Dickinson and Co","",12153.92,"Cash and Stock",14.57,"Completed"
"M&A",2016/3/17,"Columbia Pipeline Group Inc","TC Energy Corp","",12026.25,"Cash",18.00,"Completed"
"M&A",2015/8/24,"Southern Co Gas","Southern Co/The","",11936.79,"Cash",9.77,"Completed"
"M&A",2015/11/8,"Plum Creek Timber Co Inc","Weyerhaeuser Co","",11406.00,"Stock",25.40,"Completed"
"M&A",2025/8/21,"Dayforce Inc","Thoma Bravo LLC","",11237.21,"Cash",35.07,"Completed"
"M&A",2015/9/4,"TECO Energy Inc","Emera Inc","",10361.49,"Cash",11.60,"Completed"
"M&A",2012/12/20,"NYSE Euronext","Intercontinental Exchange Inc","",10310.43,"Cash or Stock",10.24,"Completed"
"M&A",2011/4/28,"Constellation Energy Group Inc","Exelon Corp","",10165.27,"Stock", ,"Completed"
"M&A",2015/1/26,"WestRock MWV LLC","WestRock RKT LLC","",9712.62,"Stock",10.45,"Completed"
"M&A",2018/2/12,"CSRA Inc","General Dynamics Corp","",9695.90,"Cash",13.54,"Completed"
"M&A",2018/6/11,"Envision Healthcare Corp","KKR Group Co Inc","",9425.71,"Cash",15.53,"Completed"
"M&A",2010/2/11,"Allegheny Energy Inc","FirstEnergy Corp","",9216.11,"Stock",7.67,"Completed"
"M&A",2019/2/12,"Coty Inc","JAB Holding Co Sarl","",9149.53,"Cash", ,"Completed"
"M&A",2014/6/23,"Integrys Energy Group Inc","WEC Energy Group Inc","",8928.90,"Cash and Stock",12.98,"Completed"
"M&A",2016/11/14,"Harman International Industries Inc","Samsung Electronics Co Ltd","",8651.01,"Cash",10.58,"Completed"
"M&A",2014/12/14,"PetSmart LLC","Caisse de Depot et Placement du Quebec,Neuberger Berman Group LLC,Longview Asset Management LLC/New Mexico,BC Partners Holdings Ltd (Fund: BC European Capital IX LP),Stepstone Group LLC (Fund: StepStone Tactical Growth Fund LP)","",8598.93,"Cash",9.26,"Completed"
"M&A",2011/1/29,"Alpha Appalachia Holdings LLC","Alpha Natural Resources Inc","",8276.82,"Cash and Stock",25.19,"Completed"
"M&A",2018/11/1,"Ovintiv Exploration Inc","Ovintiv Inc","",8181.15,"Stock",5.85,"Completed"
"M&A",2014/3/6,"Safeway Inc","Albertson's LLC","",7971.90,"Cash",5.00,"Completed"
"M&A",2014/7/28,"Family Dollar Stores Inc","Dollar Tree Inc","",7386.05,"Cash and Stock",7.96,"Completed"
"M&A",2010/2/28,"EMD Millipore Corp","Merck KGaA","",6805.77,"Cash",17.23,"Completed"
"M&A",2012/4/30,"ETC Sunoco Holdings LLC","ETP Legacy LP","",6786.54,"Cash or Stock",5.66,"Completed"
"M&A",2010/8/19,"McAfee Inc","Intel Corp","",6707.77,"Cash",17.00,"Completed"
"M&A",2013/5/6,"BMC Software Inc","GIC Pte Ltd,Bain Capital Private Equity LP (Fund: Bain Capital Fund XI LP),Golden Gate Capital LP (Fund: Golden Gate Capital Opportunity Fund LP),Insight Venture Partners LP (Fund: InSight Venture Partners VIII LP)","",6695.43,"Cash",9.64,"Completed"
"M&A",2013/9/9,"Molex LLC/US","Koch Industries Inc","",6527.77,"Cash",10.66,"Completed"
"M&A",2017/6/28,"Staples Inc","Sycamore Partners LLC","",6451.95,"Cash",40.32,"Completed"
"M&A",2011/4/4,"National Semiconductor Corp","Texas Instruments Inc","",6406.52,"Cash",10.94,"Completed"
"M&A",2011/5/2,"Cephalon Inc","Teva Pharmaceutical Industries Ltd","",6154.82,"Cash",6.65,"Completed"
"M&A",2010/8/17,"Pactiv LLC","Pactiv Evergreen Group Holdings Inc","",5945.19,"Cash",8.35,"Completed"
"M&A",2012/8/20,"Coventry Health Care Inc","Aetna Inc","",5590.60,"Cash and Stock",5.88,"Completed"
"M&A",2013/12/16,"LSI Corp","Avago Technologies Ltd","",5411.40,"Cash",19.49,"Completed"
"M&A",2012/8/27,"Hudson City Bancorp Inc","M&T Bank Corp","",5314.17,"Cash or Stock", ,"Completed"
"M&A",2021/2/22,"People's United Financial Inc","M&T Bank Corp","",5245.72,"Stock", ,"Completed"
"M&A",2021/1/4,"FLIR Systems Inc","Teledyne Technologies Inc","",4183.26,"Cash and Stock",9.87,"Completed"
"M&A",2010/12/17,"Marshall & Ilsley Corp","Bank of Montreal","",4020.85,"Stock", ,"Completed"
"M&A",2010/10/12,"KP Pharmaceuticals LLC","Pfizer Inc","",3312.50,"Cash",8.59,"Completed"
"M&A",2010/12/7,"Nicor Inc","Southern Co Gas","",3138.10,"Cash and Stock",6.80,"Completed"
"M&A",2012/11/9,"Titanium Metals Corp","Precision Castparts Corp","",2867.32,"Cash",13.22,"Completed"
"M&A",2011/12/14,"Novellus Systems Inc","Lam Research Corp","",2830.91,"Stock",7.56,"Completed"
"M&A",2010/11/22,"Micro Focus Software Inc","Attachmate Corp","",1090.49,"Cash",9.50,"Completed"
"M&A",2020/5/11,"Coty Inc","KKR Group Co Inc (Fund: KKR Americas Fund XII LP),KKR Group Co Inc (Fund: KKR European Fund V SCSp)","",1000.00,"Cash", ,"Completed"
"M&A",2013/10/8,"Seagate Technology PLC","Seagate Technology PLC","Samsung Electronics Co Ltd",1.40,"Cash",0.01,"Completed"
"M&A",2010/12/8,"One World Enterprises LLC","PepsiCo Inc,Catterton Partners Corp (Fund: Catterton Growth Partners LP)","",N/A,"Cash", ,"Completed"
"M&A",2015/3/31,"Dominion Energy Inc","Corazon Mining Ltd","Victory Nickel Inc",N/A,"Cash", ,"Completed"
"M&A",2018/3/27,"Brookfield Property REIT Inc","Brookfield Property Partners LP","",N/A,"Cash", ,"Completed"
