Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2025/12/8,"Warner Bros Discovery Inc","Paramount Skydance Corp","",106044.21,"Cash", ,"Pending"
"M&A",2025/7/29,"Norfolk Southern Corp","Union Pacific Corp","",88402.21,"Cash and Stock",16.00,"Pending"
"M&A",2025/9/29,"Electronic Arts Inc","Silver Lake Management LLC,Public Investment Fund,Affinity Partners LLC/The","",53122.54,"Cash",26.60,"Pending"
"M&A",2025/11/3,"Kenvue Inc","Kimberly-Clark Corp","",47918.04,"Cash and Stock",19.08,"Pending"
"M&A",2026/3/2,"AES Corp/The","California Public Employees' Retirement System,Qatar Investment Authority,Global Infrastructure Management LLC (Fund: Global Infrastructure Partners LP),EQT AB","",38330.81,"Cash",11.46,"Pending"
"M&A",2026/2/2,"Coterra Energy Inc","Devon Energy Corp","",23961.19,"Stock",4.85,"Pending"
"M&A",2020/6/21,"Huong Linh Fresh Energy Development JSC,Huong Linh Reproduce Energy Development JSC","Eastern Power Group PCL","Private Investor,Tan Hoan Cau Corp",4.80,"Cash", ,"Pending"
"M&A",2023/5/1,"First Republic Bank/CA","State of California Department of Finance,Federal Deposit Insurance Corp","",N/A,"Undisclosed", ,"Pending"
"M&A",2025/9/8,"Fox Corp","Private Investor","",N/A,"Cash", ,"Pending"
